match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
49,May 15,https://www.espncricinfo.com/series/8048/scorecard/1136609/kolkata-knight-riders-vs-rajasthan-royals-49th-match-indian-premier-league-2018,RR,142 (19/20 ov),KKR,145/4 (18/20 ov),Kolkata Knight Riders won by 6 wickets (with 12 balls remaining)
50,May 16,https://www.espncricinfo.com/series/8048/scorecard/1136610/mumbai-indians-vs-kings-xi-punjab-50th-match-indian-premier-league-2018,MI,186/8 (20 ov),PBKS,183/5 (20 ov),Mumbai Indians won by 3 runs
51,May 17,https://www.espncricinfo.com/series/8048/scorecard/1136611/royal-challengers-bangalore-vs-sunrisers-hyderabad-51st-match-indian-premier-league-2018,RCB,218/6 (20 ov),SRH,204/3 (20 ov),Royal Challengers Bengaluru won by 14 runs
52,May 18,https://www.espncricinfo.com/series/8048/scorecard/1136612/delhi-daredevils-vs-chennai-super-kings-52nd-match-indian-premier-league-2018,DC,162/5 (20 ov),CSK,128/6 (20 ov),Delhi Capitals won by 34 runs
53,May 19,https://www.espncricinfo.com/series/8048/scorecard/1136613/rajasthan-royals-vs-royal-challengers-bangalore-53rd-match-indian-premier-league-2018,RR,164/5 (20 ov),RCB,134 (19.2/20 ov),Rajasthan Royals won by 30 runs
54,May 19,https://www.espncricinfo.com/series/8048/scorecard/1136614/sunrisers-hyderabad-vs-kolkata-knight-riders-54th-match-indian-premier-league-2018,SRH,172/9 (20 ov),KKR,173/5 (19.4/20 ov),Kolkata Knight Riders won by 5 wickets (with 2 balls remaining)
55,May 20,https://www.espncricinfo.com/series/8048/scorecard/1136615/delhi-daredevils-vs-mumbai-indians-55th-match-indian-premier-league-2018,DC,174/4 (20 ov),MI,163 (19.3/20 ov),Delhi Capitals won by 11 runs
56,May 20,https://www.espncricinfo.com/series/8048/scorecard/1136616/chennai-super-kings-vs-kings-xi-punjab-56th-match-indian-premier-league-2018,PBKS,153 (19.4/20 ov),CSK,159/5 (19.1/20 ov),Chennai Super Kings won by 5 wickets (with 5 balls remaining)
57,May 22,https://www.espncricinfo.com/series/8048/scorecard/1136617/chennai-super-kings-vs-sunrisers-hyderabad-qualifier-1-indian-premier-league-2018,SRH,139/7 (20 ov),CSK,140/8 (19.1/20 ov),Chennai Super Kings won by 2 wickets (with 5 balls remaining)
58,May 23,https://www.espncricinfo.com/series/8048/scorecard/1136618/kolkata-knight-riders-vs-rajasthan-royals-eliminator-indian-premier-league-2018,KKR,169/7 (20 ov),RR,144/4 (20 ov),Kolkata Knight Riders won by 25 runs
59,May 25,https://www.espncricinfo.com/series/8048/scorecard/1136619/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-2-indian-premier-league-2018,SRH,174/7 (20 ov),KKR,160/9 (20 ov),Sunrisers Hyderabad won by 14 runs
60,May 27,https://www.espncricinfo.com/series/8048/scorecard/1136620/chennai-super-kings-vs-sunrisers-hyderabad-final-indian-premier-league-2018,SRH,178/6 (20 ov),CSK,181/2 (18.3/20 ov),Chennai Super Kings won by 8 wickets (with 9 balls remaining)
