match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
21,Oct 7,https://www.espncricinfo.com/series/8048/scorecard/1216501/kolkata-knight-riders-vs-chennai-super-kings-21st-match-indian-premier-league-2020-21,KKR,167 (20 ov),CSK,157/5 (20 ov),Kolkata Knight Riders won by 10 runs
22,Oct 8,https://www.espncricinfo.com/series/8048/scorecard/1216542/sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-indian-premier-league-2020-21,SRH,201/6 (20 ov),PBKS,132 (16.5/20 ov),Sunrisers Hyderabad won by 69 runs
23,Oct 9,https://www.espncricinfo.com/series/8048/scorecard/1216500/rajasthan-royals-vs-delhi-capitals-23rd-match-indian-premier-league-2020-21,DC,184/8 (20 ov),RR,138 (19.4/20 ov),Delhi Capitals won by 46 runs
24,Oct 10,https://www.espncricinfo.com/series/8048/scorecard/1216523/kings-xi-punjab-vs-kolkata-knight-riders-24th-match-indian-premier-league-2020-21,KKR,164/6 (20 ov),PBKS,162/5 (20 ov),Kolkata Knight Riders won by 2 runs
25,Oct 10,https://www.espncricinfo.com/series/8048/scorecard/1216525/chennai-super-kings-vs-royal-challengers-bangalore-25th-match-indian-premier-league-2020-21,RCB,169/4 (20 ov),CSK,132/8 (20 ov),Royal Challengers Bengaluru won by 37 runs
26,Oct 11,https://www.espncricinfo.com/series/8048/scorecard/1216507/sunrisers-hyderabad-vs-rajasthan-royals-26th-match-indian-premier-league-2020-21,SRH,158/4 (20 ov),RR,163/5 (19.5/20 ov),Rajasthan Royals won by 5 wickets (with 1 ball remaining)
27,Oct 11,https://www.espncricinfo.com/series/8048/scorecard/1216529/mumbai-indians-vs-delhi-capitals-27th-match-indian-premier-league-2020-21,DC,162/4 (20 ov),MI,166/5 (19.4/20 ov),Mumbai Indians won by 5 wickets (with 2 balls remaining)
28,Oct 12,https://www.espncricinfo.com/series/8048/scorecard/1216540/royal-challengers-bangalore-vs-kolkata-knight-riders-28th-match-indian-premier-league-2020-21,RCB,194/2 (20 ov),KKR,112/9 (20 ov),Royal Challengers Bengaluru won by 82 runs
29,Oct 13,https://www.espncricinfo.com/series/8048/scorecard/1216528/sunrisers-hyderabad-vs-chennai-super-kings-29th-match-indian-premier-league-2020-21,CSK,167/6 (20 ov),SRH,147/8 (20 ov),Chennai Super Kings won by 20 runs
30,Oct 14,https://www.espncricinfo.com/series/8048/scorecard/1216543/delhi-capitals-vs-rajasthan-royals-30th-match-indian-premier-league-2020-21,DC,161/7 (20 ov),RR,148/8 (20 ov),Delhi Capitals won by 13 runs
31,Oct 15,https://www.espncricinfo.com/series/8048/scorecard/1216531/royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-indian-premier-league-2020-21,RCB,171/6 (20 ov),PBKS,177/2 (20 ov),Punjab Kings won by 8 wickets (with 0 balls remaining)
32,Oct 16,https://www.espncricinfo.com/series/8048/scorecard/1216526/mumbai-indians-vs-kolkata-knight-riders-32nd-match-indian-premier-league-2020-21,KKR,148/5 (20 ov),MI,149/2 (16.5/20 ov),Mumbai Indians won by 8 wickets (with 19 balls remaining)
33,Oct 17,https://www.espncricinfo.com/series/8048/scorecard/1216522/rajasthan-royals-vs-royal-challengers-bangalore-33rd-match-indian-premier-league-2020-21,RR,177/6 (20 ov),RCB,179/3 (19.4/20 ov),Royal Challengers Bengaluru won by 7 wickets (with 2 balls remaining)
34,Oct 17,https://www.espncricinfo.com/series/8048/scorecard/1216509/delhi-capitals-vs-chennai-super-kings-34th-match-indian-premier-league-2020-21,CSK,179/4 (20 ov),DC,185/5 (19.5/20 ov),Delhi Capitals won by 5 wickets (with 1 ball remaining)
35,Oct 18,https://www.espncricinfo.com/series/8048/scorecard/1216512/sunrisers-hyderabad-vs-kolkata-knight-riders-35th-match-indian-premier-league-2020-21,KKR,163/5 (20 ov),SRH,163/6 (20 ov),Match tied (Kolkata Knight Riders won the one-over eliminator)
36,Oct 18,https://www.espncricinfo.com/series/8048/scorecard/1216517/mumbai-indians-vs-kings-xi-punjab-36th-match-indian-premier-league-2020-21,MI,176/6 (20 ov),PBKS,176/6 (20 ov),Match tied (Punjab Kings won the 2nd Super Over)
37,Oct 19,https://www.espncricinfo.com/series/8048/scorecard/1216533/chennai-super-kings-vs-rajasthan-royals-37th-match-indian-premier-league-2020-21,CSK,125/5 (20 ov),RR,126/3 (17.3/20 ov),Rajasthan Royals won by 7 wickets (with 15 balls remaining)
38,Oct 20,https://www.espncricinfo.com/series/8048/scorecard/1216546/kings-xi-punjab-vs-delhi-capitals-38th-match-indian-premier-league-2020-21,DC,164/5 (20 ov),PBKS,167/5 (19/20 ov),Punjab Kings won by 5 wickets (with 6 balls remaining)
39,Oct 21,https://www.espncricinfo.com/series/8048/scorecard/1216494/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-indian-premier-league-2020-21,KKR,84/8 (20 ov),RCB,85/2 (13.3/20 ov),Royal Challengers Bengaluru won by 8 wickets (with 39 balls remaining)
40,Oct 22,https://www.espncricinfo.com/series/8048/scorecard/1216518/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-indian-premier-league-2020-21,RR,154/6 (20 ov),SRH,156/2 (18.1/20 ov),Sunrisers Hyderabad won by 8 wickets (with 11 balls remaining)
41,Oct 23,https://www.espncricinfo.com/series/8048/scorecard/1216521/chennai-super-kings-vs-mumbai-indians-41st-match-indian-premier-league-2020-21,CSK,114/9 (20 ov),MI,116/0 (12.2/20 ov),Mumbai Indians won by 10 wickets (with 46 balls remaining)
42,Oct 24,https://www.espncricinfo.com/series/8048/scorecard/1216497/kolkata-knight-riders-vs-delhi-capitals-42nd-match-indian-premier-league-2020-21,KKR,194/6 (20 ov),DC,135/9 (20 ov),Kolkata Knight Riders won by 59 runs
43,Oct 24,https://www.espncricinfo.com/series/8048/scorecard/1216498/kings-xi-punjab-vs-sunrisers-hyderabad-43rd-match-indian-premier-league-2020-21,PBKS,126/7 (20 ov),SRH,114 (19.5/20 ov),Punjab Kings won by 12 runs
44,Oct 25,https://www.espncricinfo.com/series/8048/scorecard/1216544/royal-challengers-bangalore-vs-chennai-super-kings-44th-match-indian-premier-league-2020-21,RCB,145/6 (20 ov),CSK,150/2 (18.4/20 ov),Chennai Super Kings won by 8 wickets (with 8 balls remaining)
45,Oct 25,https://www.espncricinfo.com/series/8048/scorecard/1216541/rajasthan-royals-vs-mumbai-indians-45th-match-indian-premier-league-2020-21,MI,195/5 (20 ov),RR,196/2 (18.2/20 ov),Rajasthan Royals won by 8 wickets (with 10 balls remaining)
46,Oct 26,https://www.espncricinfo.com/series/8048/scorecard/1216520/kolkata-knight-riders-vs-kings-xi-punjab-46th-match-indian-premier-league-2020-21,KKR,149/9 (20 ov),PBKS,150/2 (18.5/20 ov),Punjab Kings won by 8 wickets (with 7 balls remaining)
47,Oct 27,https://www.espncricinfo.com/series/8048/scorecard/1216524/sunrisers-hyderabad-vs-delhi-capitals-47th-match-indian-premier-league-2020-21,SRH,219/2 (20 ov),DC,131 (19/20 ov),Sunrisers Hyderabad won by 88 runs
48,Oct 28,https://www.espncricinfo.com/series/8048/scorecard/1216499/mumbai-indians-vs-royal-challengers-bangalore-48th-match-indian-premier-league-2020-21,RCB,164/6 (20 ov),MI,166/5 (19.1/20 ov),Mumbai Indians won by 5 wickets (with 5 balls remaining)
49,Oct 29,https://www.espncricinfo.com/series/8048/scorecard/1216536/chennai-super-kings-vs-kolkata-knight-riders-49th-match-indian-premier-league-2020-21,KKR,172/5 (20 ov),CSK,178/4 (20 ov),Chennai Super Kings won by 6 wickets (with 0 balls remaining)
50,Oct 30,https://www.espncricinfo.com/series/8048/scorecard/1216537/kings-xi-punjab-vs-rajasthan-royals-50th-match-indian-premier-league-2020-21,PBKS,185/4 (20 ov),RR,186/3 (17.3/20 ov),Rajasthan Royals won by 7 wickets (with 15 balls remaining)
51,Oct 31,https://www.espncricinfo.com/series/8048/scorecard/1216535/delhi-capitals-vs-mumbai-indians-51st-match-indian-premier-league-2020-21,DC,110/9 (20 ov),MI,111/1 (14.2/20 ov),Mumbai Indians won by 9 wickets (with 34 balls remaining)
52,Oct 31,https://www.espncricinfo.com/series/8048/scorecard/1216502/royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-indian-premier-league-2020-21,RCB,120/7 (20 ov),SRH,121/5 (14.1/20 ov),Sunrisers Hyderabad won by 5 wickets (with 35 balls remaining)
53,Nov 1,https://www.espncricinfo.com/series/8048/scorecard/1216506/chennai-super-kings-vs-kings-xi-punjab-53rd-match-indian-premier-league-2020-21,PBKS,153/6 (20 ov),CSK,154/1 (18.5/20 ov),Chennai Super Kings won by 9 wickets (with 7 balls remaining)
54,Nov 1,https://www.espncricinfo.com/series/8048/scorecard/1216530/kolkata-knight-riders-vs-rajasthan-royals-54th-match-indian-premier-league-2020-21,KKR,191/7 (20 ov),RR,131/9 (20 ov),Kolkata Knight Riders won by 60 runs
55,Nov 2,https://www.espncricinfo.com/series/8048/scorecard/1216505/delhi-capitals-vs-royal-challengers-bangalore-55th-match-indian-premier-league-2020-21,RCB,152/7 (20 ov),DC,154/4 (19/20 ov),Delhi Capitals won by 6 wickets (with 6 balls remaining)
56,Nov 3,https://www.espncricinfo.com/series/8048/scorecard/1216495/sunrisers-hyderabad-vs-mumbai-indians-56th-match-indian-premier-league-2020-21,MI,149/8 (20 ov),SRH,151/0 (17.1/20 ov),Sunrisers Hyderabad won by 10 wickets (with 17 balls remaining)
57,Nov 5,https://www.espncricinfo.com/series/8048/scorecard/1237177/delhi-capitals-vs-mumbai-indians-qualifier-1-indian-premier-league-2020-21,MI,200/5 (20 ov),DC,143/8 (20 ov),Mumbai Indians won by 57 runs
58,Nov 6,https://www.espncricinfo.com/series/8048/scorecard/1237178/royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-indian-premier-league-2020-21,RCB,131/7 (20 ov),SRH,132/4 (19.4/20 ov),Sunrisers Hyderabad won by 6 wickets (with 2 balls remaining)
59,Nov 8,https://www.espncricinfo.com/series/8048/scorecard/1237180/delhi-capitals-vs-sunrisers-hyderabad-qualifier-2-indian-premier-league-2020-21,DC,189/3 (20 ov),SRH,172/8 (20 ov),Delhi Capitals won by 17 runs
60,Nov 10,https://www.espncricinfo.com/series/8048/scorecard/1237181/delhi-capitals-vs-mumbai-indians-final-indian-premier-league-2020-21,DC,156/7 (20 ov),MI,157/5 (18.4/20 ov),Mumbai Indians won by 5 wickets (with 8 balls remaining)
